City ID,City Name,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
964432,port alfred,-33.59,26.89,61.52,61.52,86,0,22.19
2064735,nhulunbuy,-12.18,136.78,82.4,82.4,61,75,9.17
4372777,vardo,39.62,-77.74,81.1,84.2,74,1,3.36
3832899,viedma,-40.81,-62.99,53.24,53.24,33,0,12.35
4615145,cookeville,36.16,-85.5,81.97,84.2,74,1,3.18
343292,asosa,10.07,34.53,64.4,64.4,96,88,2.73
2618795,klaksvik,62.23,-6.59,50.0,50.0,87,80,8.05
3896218,castro,-42.48,-73.76,50.99,50.99,98,92,5.75
3119841,beira,43.2,-8.36,68.95,69.8,88,0,2.24
2163355,hobart,-42.88,147.33,57.2,57.2,62,75,10.29
3424607,tasiilaq,65.61,-37.64,39.2,39.2,93,12,5.82
2152659,port macquarie,-31.43,152.91,57.2,57.2,54,0,4.7
2253354,dakar,14.69,-17.45,82.4,82.4,78,20,4.7
2129868,iwanai,42.97,140.51,66.47,66.47,100,68,5.41
5886182,antigonish,45.62,-61.99,71.6,71.6,94,90,8.05
5954718,flin flon,54.77,-101.88,64.4,64.4,93,90,10.29
4031574,provideniya,64.42,-173.23,47.03,47.03,100,92,20.4
3173615,melfi,41.0,15.66,66.2,66.2,88,0,8.05
2339937,auki,12.18,6.51,72.5,72.5,92,76,5.41
3372707,ribeira grande,38.52,-28.7,74.21,74.21,100,100,8.21
4014109,choix,26.71,-108.33,90.5,90.5,48,88,2.17
5855927,hilo,19.71,-155.08,76.75,78.8,83,90,6.93
5924351,clyde river,70.47,-68.59,53.6,53.6,50,1,11.41
6111696,port-cartier,50.03,-66.88,66.2,66.2,82,75,3.36
3369157,cape town,-33.93,18.42,55.4,55.4,82,75,9.17
2294915,takoradi,4.89,-1.75,75.47,75.47,100,80,8.99
5920288,charlottetown,46.23,-63.13,71.6,71.6,94,90,12.75
2257990,madingou,-4.17,13.56,71.33,71.33,84,56,2.95
3616594,san rafael del sur,11.85,-86.44,84.38,84.38,66,64,11.56
6185377,yellowknife,62.45,-114.38,60.8,60.8,48,40,3.36
1014034,carnarvon,-30.97,22.13,29.3,29.3,84,20,5.08
1267390,kavaratti,10.57,72.64,83.3,83.3,94,0,12.46
1627877,sembakung,3.82,117.25,77.72,77.72,92,24,2.84
117392,mitu,36.2,46.09,56.03,56.03,77,0,1.72
1714733,dingle,11.0,122.67,76.82,76.82,96,92,11.56
3893629,coquimbo,-29.95,-71.34,51.8,51.8,87,0,4.52
3137091,stavern,59.0,10.03,64.4,64.4,72,0,13.47
2654710,brighton,50.82,-0.14,62.6,62.6,88,20,6.93
2353151,aba,5.11,7.36,77.0,77.0,88,40,5.75
1629380,ruteng,-8.61,120.46,70.7,70.7,98,88,3.62
3452483,prado,-17.34,-39.22,75.92,75.92,99,48,16.49
2144528,warrnambool,-38.38,142.48,55.76,55.76,84,88,26.33
2212775,sabha,27.03,14.43,83.12,83.12,28,0,11.01
2075265,busselton,-33.64,115.35,56.66,56.66,100,68,21.74
3652764,puerto ayora,-0.74,-90.35,73.4,73.4,73,75,13.87
1718367,carlagan,14.97,122.05,77.27,77.27,100,92,6.08
1865309,katsuura,33.93,134.5,84.2,84.2,79,20,3.36
2126710,beringovskiy,63.05,179.32,47.75,47.75,100,92,20.74
2112802,hasaki,35.73,140.83,84.87,86.0,79,40,8.05
6138908,saint-philippe,45.36,-73.48,73.31,77.0,73,1,6.93
2126123,chokurdakh,70.62,147.9,46.4,46.4,79,24,11.34
5848280,kapaa,22.08,-159.32,85.17,86.0,66,90,19.46
3106672,valladolid,41.65,-4.73,73.13,73.13,42,0,10.67
3450554,salvador,-12.98,-38.48,77.0,77.0,78,20,9.17
3347019,namibe,-15.19,12.15,64.13,64.13,100,0,15.7
204283,watsa,3.04,29.53,63.32,63.32,89,0,2.73
1849876,tateyama,36.66,137.31,91.4,91.4,49,20,5.82
934479,grand gaube,-20.01,57.66,71.6,71.6,68,40,9.17
3694112,paita,-5.09,-81.11,71.06,71.06,72,56,11.34
3037899,ambon,47.55,-2.56,71.6,71.6,78,0,6.93
4013704,laguna,27.52,-110.01,96.8,96.8,41,75,10.29
2128975,nemuro,43.32,145.57,62.6,62.6,77,75,4.7
6295855,saint-georges,46.12,-70.67,67.64,67.64,90,8,0.6
98182,baghdad,33.3,44.38,89.6,89.6,33,0,8.05
826996,udarnyy,54.34,42.86,65.57,65.57,83,0,2.73
3378644,georgetown,6.8,-58.16,78.8,78.8,88,20,6.93
2962630,midleton,51.91,-8.17,59.0,59.0,82,75,9.17
2269142,colares,38.8,-9.45,83.23,87.8,31,0,2.24
5919850,chapais,49.78,-74.86,69.8,69.8,83,1,6.93
3531391,cazones,20.72,-97.32,78.8,78.8,78,75,11.41
2088122,port moresby,-9.47,147.16,82.4,82.4,88,40,4.7
3025602,saint-ambroise,47.25,-0.65,71.6,71.6,73,0,6.93
1226260,trincomalee,8.58,81.23,79.07,79.07,78,48,17.94
1252797,yamunanagar,30.12,77.29,78.98,78.98,84,76,7.76
2126199,cherskiy,68.75,161.3,54.68,54.68,48,0,5.3
592942,zagare,56.36,23.25,68.0,68.0,88,0,6.93
1282256,hithadhoo,-0.6,73.08,82.85,82.85,100,88,4.74
1015776,bredasdorp,-34.53,20.04,46.4,46.4,87,100,3.36
2142316,yeppoon,-23.13,150.74,71.6,71.6,68,90,3.36
344979,lebu,8.96,38.73,55.4,55.4,100,75,5.82
4031637,lavrentiya,65.58,-170.99,45.23,45.23,100,56,10.78
7626384,hovd,63.83,10.7,55.4,55.4,87,75,6.93
3220813,wanning,48.64,13.53,71.6,71.6,78,24,4.7
110690,faya,18.39,42.45,64.4,64.4,82,0,3.74
1651810,airai,-8.93,125.41,71.96,71.96,68,0,2.17
4407665,kodiak,39.95,-94.76,87.8,87.8,45,1,13.87
2121025,srednekolymsk,67.46,153.71,54.86,54.86,60,0,5.19
352733,marsa matruh,31.35,27.25,71.15,71.15,93,0,7.2
4035715,avarua,-21.21,-159.78,78.8,78.8,88,75,11.41
146639,lasa,34.92,32.53,76.21,77.0,83,40,5.82
3461525,ibotirama,-12.18,-43.22,76.19,76.19,49,24,6.2
1293625,dawei,14.07,98.19,71.33,71.33,99,92,3.74
2156643,mount gambier,-37.83,140.78,54.14,54.14,68,64,11.23
1623197,tual,-5.67,132.75,78.98,78.98,99,88,13.47
3423146,ilulissat,69.22,-51.1,48.2,48.2,66,40,3.62
2017155,saskylakh,71.97,114.09,52.07,52.07,69,0,16.26
5367788,lompoc,34.64,-120.46,75.6,89.6,60,1,14.99
588365,vao,59.1,26.19,63.59,63.59,91,64,6.76
2063036,port lincoln,-34.72,135.86,51.62,51.62,100,92,7.2
2017215,sangar,63.92,127.47,54.68,54.68,92,92,8.77
1852357,shimoda,34.7,138.93,84.2,84.2,89,40,10.29
6165406,thompson,55.74,-97.86,59.0,59.0,87,90,19.46
3653967,muisne,0.61,-80.02,76.1,76.1,81,92,5.41
2729907,longyearbyen,78.22,15.63,48.2,48.2,76,75,2.24
1567621,son tay,21.14,105.5,78.8,78.8,100,75,3.36
6320062,vila velha,-3.71,-38.6,78.8,78.8,78,0,8.05
6167817,torbay,47.66,-52.73,55.4,55.4,87,75,8.05
909887,luangwa,-15.62,30.4,59.27,59.27,64,0,6.31
3567597,mabay,20.35,-76.78,82.4,82.4,69,20,13.87
300377,solhan,38.97,41.05,63.05,63.05,62,68,1.83
5955902,fort nelson,58.81,-122.69,78.8,78.8,36,40,5.82
3418910,upernavik,72.79,-56.15,41.45,41.45,90,8,2.95
3573197,hamilton,32.3,-64.78,80.6,80.6,69,20,11.41
3698304,chimbote,-9.08,-78.59,62.24,62.24,95,0,9.44
2123814,leningradskiy,69.38,178.42,34.16,34.16,100,92,4.18
2396853,omboue,-1.57,9.26,73.67,73.67,100,88,8.21
6170031,tuktoyaktuk,69.44,-133.03,60.8,60.8,67,90,10.29
498856,sandovo,58.46,36.41,64.4,64.4,83,20,4.07
3833859,barrow,-38.31,-60.23,43.88,43.88,55,12,9.44
2995603,saint-pierre,48.95,4.24,72.59,73.4,68,0,13.87
1505933,ilanskiy,56.24,96.06,60.44,60.44,87,8,4.63
3014383,gueret,46.17,1.87,77.0,77.0,41,0,6.93
1486910,komsomolskiy,67.55,63.78,38.48,38.48,89,68,4.07
3372472,vila franca do campo,37.72,-25.43,71.6,71.6,78,75,10.29
1259395,porbandar,21.64,69.61,80.06,80.06,87,92,21.74
3831208,qaanaaq,77.48,-69.36,38.48,38.48,92,44,0.83
2991772,morlaix,48.58,-3.83,61.27,62.6,100,90,5.82
2255542,owando,-0.49,15.91,72.86,72.86,88,64,3.51
2022773,khandyga,62.65,135.58,67.73,67.73,76,0,3.4
1814093,dali,25.6,100.24,59.72,59.72,100,88,1.95
1277599,baleshwar,21.5,86.92,76.91,76.91,100,88,4.18
1622318,waingapu,-9.65,120.26,70.43,70.43,98,64,6.76
2068110,kununurra,-15.77,128.74,77.0,77.0,44,8,4.7
5746545,portland,45.52,-122.67,83.53,86.0,37,20,3.96
3573739,esperance,10.24,-61.45,80.6,80.6,83,20,4.7
1185141,boda,26.2,88.56,77.45,77.45,95,64,2.39
3443061,chuy,-33.69,-53.46,54.23,54.23,97,92,14.58
5554428,ketchikan,55.34,-131.65,64.98,66.2,63,40,13.87
2641843,neath,51.66,-3.8,63.73,64.4,82,36,4.7
3196165,lovrenc na pohorju,46.54,15.39,66.2,66.2,88,0,2.24
3469169,cervo,-22.19,-46.24,55.58,55.58,95,56,4.74
2019884,mogzon,51.74,111.97,63.32,63.32,87,24,3.85
203717,yangambi,0.77,24.47,74.66,74.66,88,8,2.17
2031964,darhan,49.49,105.92,62.87,62.87,100,92,5.64
1788852,xining,36.62,101.77,55.67,55.67,97,44,3.18
608324,shetpe,44.14,52.16,80.24,80.24,42,92,5.41
3351014,camacupa,-12.02,17.48,55.76,55.76,75,0,2.95
3906765,quime,-16.98,-67.22,45.05,45.05,100,92,1.95
6542103,sciacca,37.51,13.08,80.6,80.6,83,20,1.12
2335713,matagami,9.67,8.4,68.45,68.45,98,92,3.06
1701054,marawi,8.0,124.29,71.96,71.96,97,76,3.74
3380290,sinnamary,5.38,-52.96,81.32,81.32,96,92,12.57
3137469,sorland,67.67,12.69,55.04,55.04,100,92,14.03
1215502,banda aceh,5.56,95.32,74.39,74.39,98,20,4.18
5922281,chute-aux-outardes,49.12,-68.38,67.78,73.4,100,1,6.93
2012956,yerbogachen,61.28,108.01,53.42,53.42,71,0,5.19
5606187,saint anthony,43.97,-111.68,79.97,82.4,12,1,11.41
2122493,omsukchan,62.53,155.8,52.7,52.7,100,92,3.4
3382160,cayenne,4.94,-52.33,80.6,80.6,83,0,5.82
1630723,poso,-1.4,120.75,79.25,79.25,100,0,5.75
3393692,itarema,-2.92,-39.92,78.35,78.35,72,0,15.59
262462,saint george,39.45,22.34,69.8,69.8,64,0,6.93
1253472,valparai,10.33,76.96,77.0,77.0,88,75,1.72
3577430,road town,18.42,-64.62,80.76,82.4,94,88,5.82
172515,abu samrah,35.3,37.18,71.78,71.78,85,0,8.77
3437029,san patricio,-26.98,-56.83,51.17,51.17,84,48,3.51
3839307,rawson,-43.3,-65.11,55.04,55.04,42,88,5.86
1267776,kargil,34.56,76.13,27.23,27.23,96,68,1.61
1507636,chunskiy,56.08,99.63,61.7,61.7,77,32,5.41
1254046,tura,25.52,90.21,77.18,77.18,97,68,2.51
2755584,gennep,51.7,5.97,62.65,64.4,93,90,3.36
304183,bayir,37.27,28.22,69.8,69.8,83,0,2.24
3985710,cabo san lucas,22.89,-109.91,90.01,95.0,66,5,19.46
1337607,kudahuvadhoo,2.67,72.89,82.22,82.22,100,32,4.85
290030,doha,25.29,51.53,96.8,96.8,34,0,5.82
2160063,codrington,-28.95,153.24,60.26,60.26,69,0,3.4
6126749,rocky mountain house,52.38,-114.92,68.09,68.09,49,64,4.41
1253628,ginda,30.69,78.49,60.8,60.8,100,68,1.16
5225507,warwick,41.7,-71.42,74.3,77.0,94,75,2.06
3082756,ustka,54.58,16.86,71.24,71.24,88,36,12.24
1273294,dwarka,28.58,77.04,84.2,84.2,66,40,8.05
1024552,xai-xai,-25.04,33.64,68.9,68.9,97,0,16.93
3526662,teya,21.05,-89.07,77.0,77.0,83,75,8.05
2013727,vanavara,60.35,102.28,51.71,51.71,79,0,6.31
2281120,tabou,4.42,-7.36,77.9,77.9,100,0,12.24
1273409,dataganj,28.03,79.41,78.62,78.62,95,76,1.83
1006984,east london,-33.02,27.91,64.31,64.31,100,0,25.77
556268,ostrovnoy,68.05,39.51,47.75,47.75,73,92,7.99
3146487,raudeberg,61.99,5.14,55.4,55.4,87,100,12.75
371745,kutum,14.2,24.66,66.56,66.56,94,48,3.96
2191562,dunedin,-45.87,170.5,43.07,43.07,93,36,4.07
3422683,kangaatsiaq,68.31,-53.46,42.62,42.62,91,76,11.23
4696310,harper,30.3,-99.24,91.45,93.2,27,1,10.67
2630299,hofn,64.25,-15.21,50.63,50.63,95,12,0.72
2180815,tuatapere,-46.13,167.69,46.04,46.04,100,88,4.63
1862555,hirado,33.32,129.49,84.2,84.2,79,75,5.82
2078025,peterhead,-34.83,138.5,59.0,59.0,33,0,17.22
2240449,luanda,-8.83,13.24,69.8,69.8,88,75,5.82
6324729,halifax,44.65,-63.58,71.6,71.6,94,75,4.7
139817,bushehr,28.97,50.84,84.83,84.83,80,0,5.41
1800065,nangong,37.36,115.37,88.07,88.07,70,64,6.87
3939168,huarmey,-10.07,-78.15,59.9,59.9,81,0,4.18
3164565,vila,45.18,8.4,75.92,77.0,73,40,10.29
3652462,san cristobal,-0.39,-78.55,57.2,57.2,62,75,4.7
1808534,helong,25.94,116.13,78.8,78.8,87,32,3.18
218680,boende,-0.28,20.88,74.66,74.66,90,44,3.96
3191648,zlobin,45.29,14.65,77.0,77.0,50,0,1.12
1214724,langsa,4.47,97.97,68.18,68.18,92,0,2.17
152933,msowero,-6.53,37.2,68.0,68.0,82,20,4.41
2158767,mareeba,-16.99,145.42,77.0,77.0,61,40,10.29
2138285,tadine,-21.55,167.88,68.99,68.99,100,92,10.33
3939761,hualmay,-11.1,-77.61,58.37,58.37,97,8,5.19
3833883,trelew,-43.25,-65.31,55.04,55.04,42,88,5.86
1488708,ubinskoye,55.31,79.68,45.86,45.86,87,0,2.84
5983720,iqaluit,63.75,-68.52,44.6,44.6,75,75,6.93
3855065,general roca,-39.03,-67.58,53.6,53.6,36,0,3.36
2460954,araouane,18.9,-3.53,87.98,87.98,40,0,10.56
2656067,broome,52.47,1.45,59.14,60.8,93,0,1.12
5380437,pacific grove,36.62,-121.92,75.83,91.4,52,1,8.05
2239862,malanje,-9.54,16.35,61.25,61.25,95,44,4.52
2514651,los llanos de aridane,28.66,-17.92,73.4,73.4,73,48,18.34
1266937,kharela,25.55,79.82,77.63,77.63,88,36,8.99
3835994,santa rosa,-36.62,-64.29,51.08,51.08,42,44,11.23
2036283,kuandian,40.73,124.78,77.63,77.63,96,76,3.29
4267710,sitka,37.17,-99.65,96.62,96.62,32,0,9.78
986717,kruisfontein,-34.0,24.73,56.3,56.3,100,92,10.22
3395981,maceio,-9.67,-35.74,68.0,68.0,94,0,3.36
1637001,biak,-0.91,122.88,78.44,78.44,89,8,5.3
1608033,pak phanang,8.35,100.2,75.2,75.2,94,40,11.68
3981460,coahuayana,18.62,-100.35,74.75,74.75,80,64,2.28
2136825,isangel,-19.55,169.27,71.87,71.87,100,48,12.46
4084796,prattville,32.46,-86.46,82.83,84.2,74,1,4.52
925498,mzimba,-11.9,33.6,56.3,56.3,85,0,7.54
2051523,bratsk,56.15,101.63,59.0,59.0,67,20,8.95
2246901,oussouye,12.49,-16.54,78.8,78.8,94,20,4.7
2018069,peleduy,59.63,112.75,54.23,54.23,72,0,3.18
1524801,shieli,44.18,66.74,67.55,67.55,59,64,2.73
4885573,bridgeview,41.75,-87.8,88.16,91.4,62,1,11.41
1733782,victoria,5.28,115.24,80.6,80.6,94,75,1.12
2012530,zhigansk,66.77,123.37,48.92,48.92,96,92,11.23
2120334,tymovskoye,50.85,142.66,62.96,62.96,84,0,3.4
2637752,skelmersdale,53.55,-2.78,59.86,60.8,87,0,4.7
3899695,ancud,-41.87,-73.83,51.71,51.71,97,92,7.99
2120591,tilichiki,60.47,166.1,51.98,51.98,99,92,3.96
2025256,chumikan,54.72,135.31,67.01,67.01,75,0,3.06
2137748,voh,-20.95,164.69,70.7,70.7,97,0,8.43
1495626,pangody,65.85,74.49,47.48,47.48,94,92,22.3
763513,nur,52.67,22.32,64.31,64.31,83,0,2.95
1260706,paliyad,22.26,71.56,77.72,77.72,87,92,13.35
2122614,okha,53.59,142.95,62.15,62.15,80,0,3.96
2654970,brae,60.4,-1.35,52.83,53.6,76,92,14.99
3471451,arraial do cabo,-22.97,-42.02,69.8,69.8,88,20,8.05
778362,oksfjord,70.24,22.35,52.65,53.6,87,75,5.82
2020744,listvyanka,51.86,104.86,60.8,60.8,93,20,8.1
3671519,puerto carreno,6.19,-67.49,78.8,78.8,88,75,3.96
1267794,kareli,22.93,79.06,73.58,73.58,94,48,9.78
3464008,esmeraldas,-19.76,-44.31,63.16,64.4,93,40,1.12
3353383,rundu,-17.91,19.77,74.03,74.03,37,92,1.5
1528998,yumen,40.29,97.04,71.24,71.24,50,56,6.87
749747,ayan,40.67,33.6,53.51,53.51,79,20,2.17
1627185,sijunjung,-0.69,100.95,70.16,70.16,92,44,2.73
5225857,aberdeen,45.47,-98.49,84.2,84.2,45,1,4.7
2067070,palmer,-34.85,139.16,59.0,59.0,33,0,17.22
212962,moba,-7.04,29.77,63.68,63.68,87,0,7.65
5859699,college,64.86,-147.8,67.41,69.8,52,75,12.75
5384471,porterville,36.07,-119.02,97.45,98.6,25,1,8.05
3456450,laje,-13.18,-39.42,66.65,66.65,92,56,6.2
2340446,jalingo,10.21,12.82,75.83,75.83,79,88,8.77
1628757,maloy,1.0,118.1,81.32,81.32,71,32,5.41
3355672,luderitz,-26.65,15.16,50.09,50.09,92,0,4.41
2139521,noumea,-22.28,166.46,73.4,73.4,53,75,11.41
2271968,aljezur,37.31,-8.8,79.16,79.16,60,44,6.87
504269,pudozh,61.81,36.54,62.87,62.87,96,24,6.64
1067565,beloha,-25.17,45.06,50.63,50.63,81,0,5.64
1525798,balkhash,46.84,74.98,66.92,66.92,99,0,5.64
7626370,bud,62.91,6.91,55.4,55.4,87,92,6.93
2176639,batemans bay,-35.71,150.18,56.21,56.21,82,36,5.75
5855051,ewa beach,21.32,-158.01,84.63,87.8,52,40,13.87
2508813,adrar,27.87,-0.29,95.0,95.0,10,0,11.41
1626542,sorong,-0.86,131.25,80.33,80.33,100,100,10.67
258175,lixourion,38.2,20.43,79.07,79.07,98,0,8.55
3622323,pocosol,10.37,-84.62,69.8,69.8,100,75,3.36
2725123,tobol,59.83,12.54,59.0,59.0,82,76,3.36
217834,bukama,-9.2,25.85,60.89,60.89,61,0,3.4
3869716,tocopilla,-22.09,-70.2,54.5,54.5,100,64,2.62
500886,rtishchevo,52.26,43.79,65.12,65.12,74,0,2.73
2337542,naze,5.43,7.07,77.0,77.0,88,40,5.75
2145554,ulladulla,-35.36,150.48,55.4,55.4,50,0,6.93
690820,uhlove,44.82,33.6,69.26,69.26,97,8,1.95
3420846,qaqortoq,60.72,-46.03,46.4,46.4,81,92,5.82
610864,khani,41.96,42.96,68.0,68.0,94,75,3.36
2737599,saldanha,41.42,-6.55,66.83,66.83,61,0,3.4
4153188,destin,30.39,-86.5,84.2,86.0,70,1,5.82
3844421,russell,-33.01,-68.8,53.6,53.6,46,0,2.24
4034496,fare,-16.7,-151.02,79.43,79.43,99,88,17.6
1503037,kodinsk,58.6,99.18,57.83,57.83,79,0,4.74
1106677,bambous virieux,-20.34,57.76,71.6,71.6,68,40,9.17
5861897,fairbanks,64.84,-147.72,67.39,69.8,52,75,12.75
174448,abu kamal,34.45,40.92,83.84,83.84,36,0,9.55
5887916,athabasca,54.72,-113.29,70.88,70.88,73,44,12.24
2016307,solnechnyy,50.72,136.64,73.22,73.22,65,0,3.62
2517679,fortuna,38.18,-1.13,78.8,78.8,69,0,2.24
1275899,bhiwani,28.79,76.14,83.48,83.48,62,12,7.99
123941,minab,27.15,57.07,84.2,84.2,79,0,4.7
3897774,buin,-33.73,-70.74,51.8,51.8,62,75,3.36
623760,pastavy,55.11,26.84,67.28,67.28,78,92,8.77
3132644,varhaug,58.61,5.65,59.0,59.0,77,75,10.29
3416888,grindavik,63.84,-22.43,51.8,51.8,87,0,3.36
1685422,sulangan,11.14,123.72,82.22,82.22,100,88,20.51
2960970,westport,53.8,-9.52,53.33,53.33,100,64,3.06
3691954,sechura,-5.56,-80.82,69.17,69.17,81,20,16.49
289548,umm bab,25.21,50.81,80.42,80.42,42,0,4.63
3031871,veraval,49.65,0.71,63.79,66.2,77,0,9.17
3449340,sao borja,-28.66,-56.0,49.82,49.82,84,12,9.66
1852046,shinshiro,34.95,137.53,84.2,84.2,83,20,3.36
2126785,belaya gora,68.54,146.19,50.36,50.36,65,0,10.22
3681990,bella union,8.5,-73.35,72.5,72.5,75,32,2.28
286621,salalah,17.01,54.1,75.2,75.2,100,90,2.24
3675504,manaure,11.78,-72.45,84.2,84.2,74,20,16.11
780687,berlevag,70.86,29.09,52.34,52.34,100,100,3.18
1011918,danielskuil,-28.19,23.54,39.38,39.38,58,0,7.2
1817990,anqiu,36.48,119.21,87.8,87.8,79,8,7.65
528010,medvedka,61.17,46.39,49.91,49.91,85,12,3.96
962367,richards bay,-28.77,32.06,65.3,65.3,65,0,6.2
3661980,tamandare,-8.28,-70.75,81.05,81.05,83,48,2.17
3840300,presidencia roque saenz pena,-26.79,-60.44,48.74,48.74,78,0,5.64
921786,mitsamiouli,-11.38,43.28,75.2,75.2,99,0,6.87
2645198,kirkwall,58.98,-2.96,54.63,55.4,93,92,10.29
2194098,ahipara,-35.17,173.16,56.93,56.93,85,0,11.01
3465512,corinto,-18.36,-44.46,68.9,68.9,78,56,3.74
1735902,sibu,2.29,111.83,75.2,75.2,94,75,2.24
6071421,meadow lake,54.13,-108.44,68.0,68.0,82,75,12.75
1794209,simao,22.76,100.79,66.38,66.38,99,100,2.62
2460755,mahina,13.76,-10.85,75.74,75.74,92,76,6.76
2094027,kieta,-6.22,155.63,76.19,76.19,100,92,3.62
2249901,gat,14.69,-16.54,76.55,76.55,93,32,8.66
6113406,prince rupert,54.32,-130.32,64.4,64.4,72,1,12.75
303750,nusaybin,37.08,41.21,77.0,77.0,47,0,5.82
2516925,guadix,37.3,-3.14,73.4,73.4,46,0,1.12
3374120,vila do maio,15.13,-23.22,77.0,77.0,78,20,13.87
1817135,bama,24.14,107.25,71.6,71.6,100,100,2.73
1489853,tazovskiy,67.47,78.7,48.29,48.29,99,92,21.63
554830,izhma,65.01,53.91,47.57,47.57,78,56,2.39
1272201,dungarpur,23.85,73.71,77.72,77.72,82,80,13.02
1052944,angoche,-16.23,39.91,74.39,74.39,100,0,10.45
2025456,chernyshevskiy,63.01,112.47,54.14,54.14,61,0,3.29
2902768,hof,50.32,11.92,64.4,64.4,100,1,6.98
3676604,rosarito,4.91,-75.23,74.3,75.2,78,20,4.7
3386213,touros,-5.2,-35.46,77.18,77.18,86,88,14.58
2162737,ingham,-18.65,146.16,72.59,72.59,92,24,8.77
1090397,bandrele,-12.91,45.19,77.0,77.0,83,0,4.7
